"ID","admin","age","sex","zone","gang","family","other","risk"
"Hollywood-12-26-2",2,25,2,10,NA,-0.919554999,2.560670458,0.619962389
"Hollywood-12-30-2",2,25,1,10,0.898370965,2.434557484,1.59156192,-0.301469548
"Hollywood-12-37-2",2,17,1,10,2.866955509,-4.937151647,NA,-0.647343814
"Hollywood-12-41-1",2,25,1,10,2.651827735,1.42346671,1.908423142,3.060074259
"Hollywood-12-71-1",2,16,1,10,-0.663404244,0.962345773,NA,0.421465313
"Mission-14-216-2",2,18,1,11,-4.028456239,-0.769707912,1.192749732,-2.08904508
"Mission-14-256-1",2,17,2,11,NA,0.941622821,NA,-3.646200757
"Mission-14-326-1",2,19,1,11,NA,1.324326514,3.778998616,-4.040783222
"Mission-14-342-1",2,15,2,11,0.097218084,0.390611556,NA,7.406017174
"Newton 1-17-128-1",2,14,1,12,NA,2.424259827,0.338184337,-0.93305201
"Newton 1-17-145-1",2,16,1,12,NA,2.65777297,NA,-2.015356484
"Newton 1-17-160-1",2,16,2,12,NA,2.009513677,1.575402034,2.424350518
"Newton 1-17-170-1",2,15,2,12,NA,4.754422918,0.119556575,-2.670331687
"Newton 1-17-173-1",2,15,1,12,-5.850125185,1.489408371,NA,-1.726358217
"Newton 1-17-178-1",2,15,2,12,-5.218363553,-0.793549403,NA,-2.272459151
"Newton 1-17-181-1",2,17,2,12,-5.426020341,0.65699709,NA,-3.24503815
"Newton 1-17-182-1",2,16,1,12,-5.426020341,2.973304506,NA,-3.642910686
"Newton 1-17-187-1",2,15,1,12,NA,3.01829317,0.234829051,-2.667041615
"Newton 1-17-189-1",2,16,2,12,-3.539087768,0.557338232,NA,-2.378043347
"Newton 1-17-190-2",2,17,1,12,NA,1.394287963,0.58925448,-1.980170811
"Newton 1-17-195-1",2,17,1,12,-5.010706765,-0.121188242,NA,-2.956039882
"Newton 1-17-196-1",2,16,2,12,-5.426020341,0.729555753,NA,-2.956039882
"Newton 1-17-200-1",2,17,1,12,NA,0.386172655,0.807367779,-1.347555647
"Newton 1-17-206-1",2,18,1,12,NA,3.665175643,0.698311129,-2.667041615
