ID,admin,age,sex,zone,gang,family,other,risk
Newton 2-23-84-1,1,14,1,13,-8.583600888,-1.177516947,-0.596116836,-3.880761891
Newton 2-23-86-2,1,17,2,13,NA,2.737758575,-0.23635471,-3.69734782
Newton 2-23-92-2,1,15,1,13,NA,1.941347708,0.951746257,1.853999821
NHSEA-0-117-4,1,21,2,8,-7.130003372,0.649884353,NA,-2.272459151
NHSEA-0-217-2,1,17,1,8,4.527585527,-2.383763199,NA,-0.680090623
NHSEA-0-222-3,1,20,1,8,NA,-1.751974525,3.328704713,0.749120821
NHSEA-0-299-4,1,20,1,8,1.401014849,-2.916886204,NA,-2.721297254
NHSEA-0-301-4,1,24,1,8,4.762864689,4.049015806,4.10853355,4.461076155
Northeast-20-1-2,1,17,1,14,NA,0.624888229,2.294926285,-1.472545622
Northeast-20-10-3,1,24,2,14,-2.97720487,NA,NA,2.798127608
Northeast-20-100-2,1,17,1,14,2.243073833,1.730463079,NA,8.741283036
Northeast-20-119-2,1,17,2,14,-1.082801311,-1.60693861,NA,4.504241566
Northeast-20-123-2,1,22,2,14,-3.553557374,0.074541562,NA,-0.195034144
Northeast-20-130-3,1,20,2,14,-5.709360291,-2.205938817,NA,-2.378043347
Northeast-20-144-2,1,18,1,14,-0.613930504,-0.80019751,1.992132368,3.22670291
Northeast-20-156-2,1,15,1,14,2.30837088,2.183425062,2.508582017,-0.14059701
Northeast-20-162-3,1,15,1,14,NA,NA,NA,5.419066182
Northeast-20-18-3,1,21,1,14,1.498426732,-0.526628067,NA,3.470618112
Northeast-20-196-2,1,15,1,14,1.824208381,-2.330645473,2.587411475,2.084205188
Northeast-20-211-2,1,21,1,14,3.917827181,-2.846743931,NA,2.881867162
Northeast-20-218-2,1,19,2,14,NA,1.10662574,0.978487273,-2.956039882
Northeast-20-222-2,1,19,1,14,-1.827756398,-0.736434959,-4.439352083,1.338755971
Northeast-20-226-2,1,19,1,14,0.583856766,2.898319708,4.936872391,-2.884790151
Northeast-20-228-2,1,20,1,14,3.165996121,2.876853842,-0.872806805,1.920224073
Northeast-20-231-2,1,17,2,14,-3.685092054,0.251892061,1.829443887,-2.779205955
Northeast-20-243-2,1,21,1,14,0.176638461,0.200133221,0.456063858,2.654770372
Northeast-20-25-2,1,16,2,14,NA,-0.493461904,NA,7.377411645
Northeast-20-268-2,1,18,2,14,-1.16042904,-7.220686633,NA,5.191112369
Northeast-20-269-2,1,17,1,14,3.098939846,-5.752808889,-3.421491482,6.741660726
Northeast-20-270-2,1,19,1,14,-3.825068282,-0.788637628,NA,-1.694462616
Northeast-20-279-2,1,20,1,14,2.994752974,4.359337262,NA,4.462448572
Northeast-20-284-2,1,18,2,14,2.765501871,2.815828672,1.392338159,-1.116466081
Northeast-20-292-1,1,22,1,14,1.17440431,4.693806941,3.665576662,-2.069793619
Northeast-20-294-2,1,20,2,14,NA,6.472930318,4.958883438,-2.612422985
Northeast-20-296-2,1,19,1,14,-1.636239218,1.037100499,NA,1.637805949
Northeast-20-297-2,1,15,1,14,-1.170755905,-1.304920575,NA,8.026845221
Northeast-20-298-2,1,18,2,14,-2.728519334,2.660452009,NA,-4.040783222
Northeast-20-300-2,1,16,1,14,0.422725169,-7.102486022,NA,6.792834966
Northeast-20-303-1,1,21,1,14,0.351872429,0.711914875,NA,2.818932982
Northeast-20-306-1,1,17,1,14,4.551820406,-1.185062176,NA,4.684338388
Northeast-20-308-1,1,14,1,14,4.967133982,2.615461074,NA,6.483701038
Northeast-20-35-2,1,20,2,14,-1.917254904,-3.249235709,1.082449287,0.241341314
Northeast-20-64-2,1,15,1,14,-0.246770386,-1.474420919,NA,5.913168846
Northeast-20-97-2,1,15,2,14,-1.189219777,-4.834169973,1.631491113,3.122338726
