,ID,admin,age,sex,zone,gang,family,other,risk
1558,SSSEARE-0-97-1,1,15.0,1,999.0,2.397869386,-3.872295039,,2.15009554
1559,Newton 2-23-126-1,2,16.0,1,13.0,1.970427982,2.683879562,-1.030250852,2.464930475
1560,Newton 1-17-267-1,1,25.0,1,12.0,5.109341804,,,4.7885501669999995
1561,Southwest 2-23-112-1,2,18.0,1,23.0,,3.062423059,,-0.12463562
1562,Southwest 1-15-353-2,1,19.0,2,22.0,,-1.281038081,,8.79572017
1563,Newton 1-17-269-1,1,14.0,2,12.0,,-2.3336306280000003,,1.397334384
1564,77th 2-13-1437-1,1,24.0,2,2.0,0.517087517,-0.8759050159999999,1.2926188440000002,-0.832493292
1565,Southeast 2-20-178-2,1,30.0,1,20.0,2.764641493,3.663546277,-1.999724056,-4.150508697
1566,Southwest 1-15-354-2,1,17.0,1,22.0,,4.621181691,,3.602033913
1567,Southwest 1-15-349-2,1,19.0,2,22.0,,0.8109561120000001,,1.522170042
1568,Rampart 1-12-527-2,1,16.0,2,17.0,,5.121848715,,-1.9834608830000002
1569,77th 2-13-1439-1,1,14.0,2,2.0,-2.2279426630000003,-0.8776392890000001,,1.8589981230000001
1570,Hollenbeck 1-20-182-2,1,17.0,2,7.0,,-2.923378454,1.148605033,4.0678661080000005
1571,Southwest 2-23-102-1,2,17.0,1,23.0,,3.238241707,,-3.646200757
1572,Southwest 2-23-98-1,2,20.0,2,23.0,,1.90223677,1.570794669,-0.648195021
1573,Hollenbeck 1-20-122-3,1,15.0,1,7.0,-1.233677755,-1.818092017,,1.073304761
1574,Southeast 2-20-226-1,1,20.0,2,20.0,,3.330279445,-0.210492822,-2.07308369
1575,Southwest 1-15-301-2,3,26.0,2,22.0,1.219005892,5.620298877000001,,-5.196776292
1576,Hollenbeck 2-20-149-2,2,16.0,1,8.0,,-0.125852214,,0.09396412400000001
1577,Hollenbeck 1-20-151-2,1,16.0,1,7.0,2.2301064040000003,2.138831988,-0.8557677890000001,-1.3116730840000002
1578,Newton 2-23-183-1,2,17.0,1,13.0,,3.500684148,-1.456168724,-3.6429106860000005
1579,77th 1-16-91-1,2,18.0,1,1.0,0.468238063,-2.08374167,,-1.745609678
1580,77th 1-16-84-1,2,19.0,2,1.0,-3.489614028,-3.706283057,-1.096406598,-1.745609678
1581,Newton 2-23-86-2,2,18.0,2,13.0,,1.099015137,-1.079002915,-4.329781489
1582,Southeast 2-20-129-2,3,18.0,1,20.0,,1.751347037,0.825892651,-1.964209422
1583,Southeast 2-20-227-1,1,29.0,1,20.0,1.9137403080000002,3.834885232,,-2.1828091659999997
1584,Southeast 2-20-225-1,1,18.0,1,20.0,,0.961893489,,-1.964209422
1585,Newton 2-23-185-1,2,20.0,2,13.0,,1.569463016,-0.652205915,-4.329781489
1586,Southwest 1-15-359-2,1,15.0,2,22.0,3.3754121360000005,-1.156825126,,4.989298045
1587,77th 2-13-1393-1,2,18.0,1,2.0,,-5.895601762999999,,-5.485774558999999
1588,77th 2-13-1399-1,2,19.0,1,2.0,,1.3038307279999999,-1.732858693,-5.485774558999999
1589,Northeast-20-206-3,1,19.0,2,14.0,0.14251566300000001,0.304180055,,0.073888632
1590,77th 2-13-1392-1,2,22.0,1,2.0,,-4.672587175,-1.76457174,-5.196776292
1591,Southeast 3-10-173-1,2,18.0,1,21.0,,6.042993266,-3.433044005,-5.485774558999999
1592,Newton 2-23-249-1,1,15.0,1,13.0,,2.8004920419999997,,0.350397078
1593,Southeast 3-10-170-1,2,22.0,1,21.0,,3.7262129760000002,-3.666710464,-5.485774558999999
1594,Southeast 3-10-169-1,2,19.0,1,21.0,,5.174785022,-2.829548752,-5.485774558999999
1595,Southeast 3-10-167-1,2,19.0,1,21.0,,3.631853441,-3.03883918,-5.142339156999999
1596,Southeast 3-10-172-1,2,20.0,1,21.0,,0.371992903,-1.315763693,-3.081726747
1597,Southwest 1-15-357-2,1,14.0,2,22.0,,-0.948235906,,8.056148392
1598,Valley-92-52-1,1,17.0,1,999.0,,,,0.650667068
1599,Hollenbeck 1-20-161-2,1,21.0,1,7.0,,-4.072090004,0.6380065429999999,0.42146531299999995
1600,Southeast 3-10-171-1,2,24.0,1,21.0,,4.490959225,-3.7742812580000002,-5.485774558999999
