ID,admin,age,sex,zone,gang,family,other,risk
Southeast 2-20-43-1,1,20,1,20,-0.008728015,-2.95090003,0.788478241,-0.121345549
Southeast 2-20-54-1,1,20,2,20,-0.008728015,NA,0.788478241,0.908960657
Newton 2-23-73-1,1,25,1,13,NA,-5.604087366,NA,-4.907778024
Hollywood-12-7-1,2,20,2,10,NA,0.430650308,2.762623871,1.486957192
Newton 2-23-75-1,1,18,1,13,NA,-4.728161524,-0.798070248,-2.147441998
Harbor-21-125-1,1,26,1,6,3.144144755,-0.252194673,NA,8.401137706
77th 1-16-37-2,1,17,2,1,NA,-4.511883357,0.05725167,2.266795229
RPARGR-PP-74-3,2,24,1,10,1.24600398,-1.870052682,1.039548383,2.196369528
77th 3-20-108-1,1,17,2,3,NA,3.515974599,NA,-3.353912418
Hollywood-12-2-1,2,22,1,10,0.248402512,-0.020104529,2.344043015,5.547191911
Hollywood-12-9-1,2,21,2,10,-0.942825084,-5.612710304,1.884047111,3.188199988
Newton 2-23-53-1,1,16,1,13,NA,-0.913333383,NA,-5.196776292
Newton 2-23-37-1,1,17,1,13,NA,-1.938853589,NA,-5.196776292
SSSEARE-0-39-1,1,17,1,999,NA,7.171901433,3.028882507,-2.214368955
Newton 1-17-93-1,1,25,1,12,NA,-6.19694631,NA,0.042817061
FGSEARE-0-24-1,1,17,1,999,-2.099706252,3.411335138,5.087344089,-4.275344355
Newton 2-23-61-1,1,15,1,13,NA,1.172094528,0.139325242,-2.83102273
CPHBRE-0-55-1,1,17,1,999,3.586456419,1.814619375,NA,5.246066812
FGSEARE-0-34-1,1,18,1,999,NA,-1.660161656,NA,4.547563208
Newton 2-23-66-1,1,15,1,13,NA,-0.784589602,1.159550829,-4.490654027
FGSEARE-0-38-1,1,18,2,999,NA,1.218831942,3.465109106,-1.351027214
Harbor-21-136-1,1,14,1,6,2.534673435,2.456396493,-3.611013243,8.010883832
Newton 2-23-4-1,1,18,1,13,-8.583600888,-0.411016221,-0.805407264,-3.86151043
Hollywood-12-10-1,2,25,1,10,-2.196236798,-1.697375046,1.098367113,3.74365499
BHSEA-2-143-2,1,16,1,8,1.955773037,1.867517545,-3.271019784,-0.636407904
Newton 1-17-95-1,1,16,1,12,NA,4.070952303,2.866343824,-3.173788419
Southwest 2-23-54-1,1,20,1,23,NA,1.374026801,2.647716061,4.11901317
77th 1-16-16-1,1,17,2,1,NA,NA,2.16795149,-2.08904508
Hollenbeck 2-20-146-2,1,15,2,8,NA,-2.177600681,-0.498248042,0.145111186
77th 1-16-10-1,1,17,2,1,-5.09599082,0.503951912,2.429238096,1.843063911
Hollywood-12-5-1,2,24,2,10,-2.990357639,-2.382046447,1.984280889,1.939266862
Hollywood-12-1-1,2,21,1,10,-2.223234886,2.366759482,2.677943253,0.908960657
77th 1-16-17-1,1,18,2,1,0.804316602,-2.190873235,-4.191618319,-3.877471819
Southeast 1-22-44-1,1,17,1,19,NA,3.457537346,NA,-4.040783222
Devonshire-Topanga-11-25-2,1,19,1,4,NA,4.959081391,3.5823819,-1.511048545
Harbor-21-126-1,1,16,1,6,-8.583600888,-10.14847371,2.696832791,-4.040783222
Newton 2-23-103-1,1,18,1,13,NA,2.246786847,1.003227971,-4.907778024
Harbor-21-139-1,1,16,2,6,2.161269943,0.017944777,1.519919681,3.013618776
77th 2-13-1302-1,1,17,1,2,NA,3.527339504,NA,2.771075991
Southwest 1-15-256-1,1,30,1,22,-0.694414113,1.970315143,NA,-0.718566367
77th 1-16-13-1,1,18,2,1,-1.411949497,NA,-1.097892454,-4.618779757
Hollywood-12-3-1,2,25,2,10,-1.663237306,-4.914047988,2.060138635,-0.102094087
Harbor-21-140-2,1,25,1,6,0.70716177,0.901867692,NA,-2.272459151
NHSEA-0-217-2,1,17,1,8,4.527585527,-2.383763199,NA,-0.680090623
77th 1-16-46-1,1,17,1,1,1.503134508,6.695693729,NA,-5.142339157
BVCB-0-215-3,1,18,1,22,0.06959571,-0.853172164,-1.45044017,1.089084656
Devonshire-Topanga-11-8-1,1,20,2,4,NA,0.643221355,-0.00853941,-3.877471819
77th 2-13-1297-1,1,23,2,2,NA,NA,NA,NA
Southwest 1-15-247-1,1,16,1,22,NA,0.632670353,NA,-3.69734782
Southwest 1-15-246-1,1,18,2,22,NA,NA,NA,-3.010477016
77th 2-13-1308-1,1,17,1,2,-1.640946994,1.692786917,-1.034466359,1.951938179
77th 2-13-1307-1,1,16,2,2,NA,2.300634342,-1.853103199,0.475902448
Hollenbeck 2-20-56-2,1,17,1,8,NA,-1.322568899,1.231435129,3.775577769
Newton 2-23-56-1,1,18,1,13,NA,-2.334381014,0.273637053,-5.196776292
Newton 1-17-100-1,1,15,2,12,NA,-3.831565713,0.857363638,-2.08904508
Hollenbeck 1-20-50-2,1,18,1,7,-5.630289635,-4.297619427,NA,-4.545091161
CPHBRE-0-54-1,1,19,1,999,-0.662063003,-1.869534225,-1.23954128,-1.238862874
Newton 2-23-84-1,1,14,1,13,-8.583600888,-1.177516947,-0.596116836,-3.880761891
Newton 2-23-104-1,1,17,1,13,NA,-0.030672252,-0.562038803,-5.196776292
Harbor-21-138-1,1,14,1,6,3.605544576,5.021796924,2.178018156,0.18690418
Southeast 1-22-3-1,2,17,1,19,NA,-0.781346339,0.949016605,-2.956039882
Mission-19-38-1,1,19,1,11,NA,1.288879586,NA,-1.116954298
77th 1-16-54-1,1,17,2,1,NA,NA,-1.166413185,-4.150508697
Mission-19-82-1,1,15,2,11,NA,-4.174078076,0.694824955,-0.628092353
Mission-19-20-2,1,25,1,11,NA,-0.176405937,-3.713976672,-0.670736554
77th 1-16-49-1,1,17,2,1,NA,-5.441420185,-2.214500977,-1.186837427
77th 1-16-15-1,1,18,1,1,NA,0.596594898,-1.074760217,NA
Mission-19-53-1,1,14,1,11,4.667030139,3.162214885,NA,4.103051781
77th 1-16-58-1,1,17,2,1,NA,-0.116399748,-1.147888313,1.682191373
77th 3-20-59-2,1,14,1,3,NA,-2.025140133,-0.296659296,0.675277908
RPARGR-PP-158-3,2,19,1,10,1.583689827,-0.69245783,2.434574792,0.908960657
Hollywood-12-14-1,1,25,1,10,2.013126733,-3.783676596,0.813218939,0.908960657
CPHBRE-0-3-1,3,19,1,999,1.146524885,-0.324010395,-0.355478026,2.876660188
Southeast 1-22-45-1,1,17,1,19,NA,NA,0.101031703,-2.909555309
Mission-19-51-1,1,21,1,11,-2.214004673,0.274762423,NA,11.12805331
Southwest 1-15-259-1,1,19,1,22,-4.028456239,-2.026729091,NA,1.116317768
Hollenbeck 2-20-5-2,1,24,1,8,NA,NA,NA,NA
Devonshire-Topanga-11-7-1,1,21,2,4,NA,-0.597117662,NA,-1.800046812
Hollywood-12-12-1,2,15,1,10,1.444869501,-4.294582754,2.870194664,4.090380464
Southeast 1-22-6-1,2,18,2,19,NA,2.955232556,1.374934477,-2.513600428
Mission-19-13-1,1,19,1,11,NA,0.365828185,NA,-1.728797081
FGSEARE-0-52-1,1,18,2,999,1.842415202,4.91761964,1.817891365,10.34163322
FGSEARE-0-55-1,1,17,1,999,NA,1.167315519,1.322331572,1.63485169
Southeast 1-22-43-1,1,24,1,19,NA,3.427982414,3.032733348,-4.618779757
Southeast 1-22-29-1,1,17,1,19,NA,-2.263230486,NA,-0.066908414
Southeast 1-22-22-1,1,17,1,19,NA,5.529561656,4.133788711,-2.510310356
CPHBRE-0-39-1,2,19,1,999,-3.37378001,-2.625780789,NA,-1.800046812
Southeast 1-22-46-1,1,17,1,19,4.064742779,4.963591391,NA,6.834629873
Foothill-14-238-1,1,18,1,5,NA,NA,NA,-4.275344355
BVCB-0-226-1,2,23,2,22,2.811166684,-1.097918042,NA,6.491165381
RPARGR-PP-149-2,2,16,1,10,NA,1.079131814,2.200908332,1.416558668
Mission-19-58-1,1,24,2,11,NA,0.860202258,NA,-0.711986224
Mission-19-28-1,1,21,1,11,NA,6.218283355,1.195721443,-1.753562239
Hollywood-12-18-1,2,26,1,10,3.175850619,-5.121137908,1.280551858,5.310164736
Hollywood-12-17-1,2,26,2,10,2.215451459,-0.386646375,2.225284364,2.860698798
Southwest 1-15-258-1,1,24,1,22,-0.143464851,-1.824244802,NA,0.835453556
NHSEA-0-356-2,2,20,1,7,1.248420914,1.994090846,NA,-3.814537639
Hollywood-12-16-1,2,24,2,10,1.182499581,-1.694417513,2.536294426,1.560645787
Devonshire-Topanga-11-18-2,1,18,1,4,4.212814278,3.986044436,1.700253904,6.125369941
Hollenbeck 1-20-49-2,1,16,1,7,NA,1.290450583,-1.037952534,-1.042777485
Newton 2-23-77-1,1,14,1,13,NA,-1.11204816,-1.135456661,-3.86151043
Foothill-14-241-1,1,15,2,5,NA,-4.06518379,NA,-0.824177741
Hollywood-12-15-1,2,19,1,10,1.950153949,-5.59399169,0.973757303,3.095259932
77th 2-13-1311-1,1,19,2,2,2.852452483,5.225126634,2.554819298,0.81519657
Newton 2-23-26-1,1,17,2,13,NA,0.347881346,-0.320670662,-3.389098091
Northeast-20-49-2,1,15,1,14,-0.831475212,0.493429358,NA,1.19137878
Newton 1-17-106-1,1,15,1,12,NA,0.115598882,-1.012090646,-4.618779757
Southwest 2-23-30-1,1,20,1,23,NA,NA,2.899907393,8.218574843
Devonshire-Topanga-11-3-2,1,18,1,4,3.320095678,-3.715848289,-0.352748375,-3.155388165
Devonshire-Topanga-11-4-2,1,18,2,4,-2.438986945,-2.156665617,-1.807472644,2.549186175
Hollywood-12-4-1,2,25,1,10,-5.941416339,0.647989049,1.908423142,-0.118055477
Devonshire-Topanga-11-33-1,2,20,2,4,NA,0.17148283,NA,-5.196776292
Southeast 3-10-108-1,1,13,2,21,NA,1.179740613,0.88783289,0.800086388
Devonshire-Topanga-11-15-1,2,19,1,4,0.338373385,-3.920212191,-0.297023962,-2.70551736
Hollywood-12-6-1,2,25,2,10,0.406585561,-3.054555606,3.152613188,2.981360184
Newton 2-23-67-1,1,19,1,13,NA,-1.995189611,-1.122268485,-5.196776292
Southwest 1-15-262-1,1,22,1,22,-0.682522377,-0.889528173,0.539258621,2.748534458
Newton 1-17-108-1,1,14,2,12,-2.810230554,1.926473255,2.36196116,-0.535179474
Newton 2-23-12-1,1,22,2,13,NA,-1.977783704,NA,-5.142339157
Northeast-20-1-2,2,17,1,14,NA,3.090427794,-0.185237661,-1.119756152
Southeast 3-10-109-1,1,12,2,21,NA,0.766892011,5.487400073,-1.514338616
Southwest 1-15-261-1,1,20,2,22,-2.21557856,-0.135840896,NA,-0.57694529
SSSEARE-0-66-1,1,17,1,999,NA,3.254937223,-5.115975431,1.697604375
Northeast-20-127-2,1,17,1,14,-1.616180499,3.571904129,NA,0.167652719
Southwest 1-15-263-1,1,19,1,22,NA,0.050257476,NA,-4.564342622
Southeast 1-22-9-1,1,16,2,19,NA,3.564834457,2.276401413,-1.010881884
Newton 1-17-120-1,1,13,1,12,4.794131608,-4.326461725,NA,8.206942043
Southwest 2-23-57-1,1,23,2,23,NA,-4.31179918,-0.168713108,-4.286949977
Devonshire-Topanga-11-57-2,1,19,1,4,NA,NA,1.297590875,1.498744309
Devonshire-Topanga-11-5-1,2,25,2,4,NA,1.549569408,NA,-2.143482214
