,GRYD_ETO_ID,Categorized_Activities
546,Newton 1-17-178-1,
547,Newton 1-17-173-1,
548,Southeast 3-10-127-1,"program, sports"
549,Newton 2-23-141-1,
550,NHSEA-0-301-4,
551,77th 3-20-154-1,
552,SSSEARE-0-77-1,
553,Harbor-21-138-2,
554,Southeast 3-10-125-1,community
555,Harbor-21-164-1,church
556,Southeast 2-20-145-1,hygiene
557,NHSEA-0-360-3,volunteer
558,Southeast 2-20-164-1,hygiene
559,Hollenbeck 2-20-118-2,
560,77th 2-13-1238-1,"program, sports"
561,Pacific-18-236-1,"therapy, program"
562,Harbor-21-166-1,
563,Harbor-21-150-1,gryd
564,Southeast 2-20-140-1,hygiene
565,Southeast 2-20-150-1,hygiene
566,Newton 2-23-64-1,"church, sports"
567,Southeast 2-20-144-1,hygiene
568,Southeast 2-20-159-1,
569,Harbor-21-116-2,
570,Mission-14-138-1,church
571,Foothill-14-296-1,
572,Rampart 1-12-491-1,
573,Mission-14-158-1,sports
574,Southeast 2-20-154-1,hygiene
575,Mission-14-157-1,
576,Southeast 2-20-151-1,"study, job"
577,Southeast 2-20-153-1,hygiene
578,Hollenbeck 1-20-77-3,
579,SSSEARE-0-82-1,
580,Rampart 1-12-423-2,
581,FGSEARE-0-60-1,church
582,Newton 2-23-140-1,"job, program"
583,Newton 2-23-156-1,program
584,Newton 2-23-161-1,
585,Pacific-18-228-1,therapy
586,BVCB-0-88-3,program
587,77th 2-13-1340-1,sports
588,Hollenbeck 3-20-118-2,
589,Southeast 2-20-155-1,hygiene
590,Southeast 2-20-138-1,hygiene
591,FGSEARE-0-69-1,
592,Foothill-14-297-1,"job, church"
593,Foothill-14-308-1,
594,Northeast-20-184-2,
595,Hollenbeck 1-20-101-2,
596,Hollenbeck 1-20-103-2,
597,Foothill-14-320-1,
598,Newton 2-23-167-1,"selfimprovement, job, sports"
599,Valley-92-12-1,
600,Southeast 2-20-85-1,hygiene
601,Foothill-14-310-1,
602,Newton 2-23-135-1,"job, sports"
603,SVCIS-0-44-2,family
604,Foothill-14-294-1,
605,Foothill-14-211-1,church
606,Rampart 1-12-495-2,
607,VMVHF-0-67-1,selfimprovement
608,Pacific-18-244-1,therapy
609,Foothill-14-286-1,volunteer
610,Southwest 1-15-296-2,selfimprovement
611,Pacific-18-85-1,job
612,Foothill-14-210-1,
613,Harbor-21-172-1,
614,Foothill-14-319-1,
615,Mission-14-141-1,
616,77th 3-20-136-1,
617,77th 3-20-176-1,
618,77th 3-20-133-1,
619,Hollenbeck 3-20-3-2,volunteer
620,Olympic-12-56-1,
621,Pacific-18-96-1,
622,Harbor-21-168-1,
623,Newton 1-17-181-1,
624,Newton 1-17-182-1,
625,Newton 1-17-185-1,
626,Newton 1-17-196-1,
627,Newton 1-17-195-1,
628,Newton 1-17-49-2,
629,77th 3-20-59-3,job
630,Rampart 1-12-493-1,
631,Southwest 1-15-268-2,
632,77th 3-20-56-2,selfimprovement
633,77th 3-20-139-2,
634,Newton 2-23-117-1,"school, job"
635,Pacific-18-113-1,
636,Harbor-21-170-1,
637,Hollenbeck 2-20-103-2,
638,Hollenbeck 3-20-121-2,
639,Pacific-18-114-1,
640,Harbor-21-167-1,
641,Newton 2-23-84-1,"tutoring, therapy"
642,Hollenbeck 2-20-114-2,
643,Foothill-14-309-1,
644,Hollenbeck 1-20-111-2,
645,Hollenbeck 2-20-71-2,sports
646,Harbor-21-169-1,
647,CPHBRE-0-61-1,study
648,Valley-92-16-1,
649,Newton 1-17-189-1,
650,Newton 2-23-169-1,
651,Hollenbeck 3-20-102-2,
652,Hollenbeck 1-20-106-2,selfimprovement
653,Hollenbeck 1-20-104-2,selfimprovement
654,Harbor-21-171-1,
655,Harbor-21-174-1,
656,Southeast 2-20-107-2,hygiene
657,Hollenbeck 1-20-122-2,program
658,Hollenbeck 1-20-126-2,
659,Southeast 2-20-128-2,hygiene
660,Southwest 1-15-238-1,job
661,Hollenbeck 1-20-131-2,program
662,77th 2-13-1327-1,program
663,77th 2-13-1343-1,family
664,BVCB-0-187-2,sports
665,Rampart 1-12-506-1,sports
666,Harbor-21-173-1,
667,Northeast-20-196-2,
668,Southeast 3-10-108-1,
669,Hollenbeck 2-20-74-2,
670,Southwest 1-15-271-2,
671,Southwest 1-15-270-2,
672,NHSEA-0-248-2,
673,Harbor-21-175-1,
674,Harbor-21-179-1,
675,77th 1-16-74-1,selfimprovement
676,Southeast 2-20-106-2,hygiene
677,Rampart 1-12-501-1,
678,Hollenbeck 2-20-46-2,
679,CPHBRE-0-96-1,"job, school, selfimprovement"
680,Newton 2-23-148-1,"school, job"
681,Harbor-21-176-1,
682,Southwest 1-15-280-1,job
683,77th 3-20-157-1,family
684,Southwest 2-23-83-1,
685,BHSEA-2-107-3,
686,CPHBRE-0-16-1,
687,Harbor-21-182-1,
688,CPHBRE-0-49-1,"therapy, church"
689,Northeast-20-119-2,
690,Hollenbeck 3-20-107-2,
691,Newton 1-17-175-1,
692,Devonshire-Topanga-11-117-1,program
693,Southwest 1-15-289-1,
694,Devonshire-Topanga-11-118-1,church
695,Southeast 2-20-135-1,hygiene
696,Valley-92-19-1,
697,BVCB-0-191-2,
698,Southeast 2-20-143-1,hygiene
699,Newton 2-23-131-1,"family, study, church, selfimprovement"
700,Newton 2-23-182-1,
701,Southeast 2-20-126-1,hygiene
702,Southeast 2-20-127-1,hygiene
703,Southwest 1-15-260-2,job
704,Newton 1-17-191-1,sports
705,Foothill-14-165-2,sports
706,Newton 1-17-157-1,
707,Southwest 1-15-269-1,job
708,Hollenbeck 3-20-141-2,
709,SSSEARE-0-86-1,sports
710,Newton 1-17-128-1,sports
711,Newton 2-23-160-1,program
712,Devonshire-Topanga-11-115-1,
713,Devonshire-Topanga-11-103-1,
714,77th 1-16-63-1,
715,Newton 2-23-132-1,"program, selfimprovement"
716,Newton 2-23-149-1,program
717,77th 2-13-1337-1,
718,Southwest 2-23-55-2,
719,77th 3-20-137-2,sports
720,Devonshire-Topanga-11-119-1,
721,Devonshire-Topanga-11-114-1,job
722,Devonshire-Topanga-11-85-1,
723,Olympic-12-97-3,volunteer
724,77th 2-13-1363-1,
725,Newton 2-23-15-1,"church, selfimprovement"
726,Hollenbeck 1-20-128-2,program
727,BVCB-0-232-2,"sports, study"
728,Southwest 1-15-315-1,"study, job"
729,Southeast 2-20-130-1,hygiene
730,BVCB-0-192-4,selfimprovement
731,Newton 1-17-194-1,
732,Southeast 2-20-160-1,hygiene
733,Newton 2-23-187-1,"volunteer, study"
734,Southwest 1-15-302-2,job
735,Hollenbeck 2-20-31-2,
736,Southwest 1-15-290-1,"study, job, selfimprovement"
737,Southwest 1-15-301-2,"workout, therapy"
738,BVCB-0-76-3,selfimprovement
739,Hollenbeck 3-20-120-2,
740,Rampart 1-12-503-1,church
741,Hollenbeck 3-20-124-2,
742,Newton 2-23-86-2,"program, sports"
743,Newton 2-23-170-1,study
744,Newton 2-23-151-1,"family, program"
745,77th 2-13-1360-1,
746,Southwest 2-23-82-1,
747,BVCB-0-119-3,"study, job"
748,Hollenbeck 3-20-131-2,
749,BVCB-0-222-2,
750,Hollenbeck 3-20-132-2,
751,Hollenbeck 3-20-137-2,
752,Hollenbeck 3-20-133-2,job
753,Hollenbeck 3-20-142-2,
754,Newton 2-23-173-1,family
755,77th 2-13-1338-1,
756,Hollenbeck 3-20-47-3,sports
757,Southwest 1-15-312-1,art
758,Southwest 1-15-298-1,"entertainment, selfimprovement"
759,Olympic-12-78-1,study
760,77th 3-20-109-2,"sports, study"
761,Newton 2-23-155-1,program
762,Newton 2-23-138-1,
763,Newton 2-23-130-1,sports
764,Southwest 1-15-272-2,sports
765,BVCB-0-184-2,"job, study"
766,Newton 2-23-113-1,program
767,Newton 1-17-176-1,
768,Southwest 2-23-52-2,
769,CPHBRE-0-98-1,
770,BVCB-0-129-2,"job, selfimprovement"
771,Hollenbeck 1-20-123-2,tutoring
772,FGSEARE-0-73-1,job
773,Hollywood-12-11-1,sports
774,Hollenbeck 2-20-96-2,
775,Hollywood-12-7-1,"family, sports"
776,Hollywood-12-12-1,community
777,Southwest 2-23-58-2,
778,Southwest 2-23-48-2,
779,Devonshire-Topanga-11-120-1,job
780,Hollywood-12-6-1,volunteer
781,Hollywood-12-4-1,volunteer
782,Foothill-14-390-1,
783,Northeast-20-188-2,"selfimprovement, program"
784,Newton 1-17-187-1,church
785,Southwest 1-15-303-2,
786,Southeast 3-10-157-1,
787,Hollenbeck 1-20-98-2,program
788,Hollenbeck 3-20-153-2,
789,Hollenbeck 1-20-64-2,volunteer
790,Newton 2-23-197-1,study
791,Newton 2-23-158-1,"study, job"
792,BVCB-0-226-3,
793,Hollenbeck 3-20-144-2,
794,Valley-92-13-1,
795,FGSEARE-0-77-1,art
796,Northeast-20-144-2,
797,Newton 1-17-180-1,"job, selfimprovement"
798,Southwest 1-15-320-2,church
799,Newton 2-23-175-1,program
800,Harbor-21-187-1,
801,77th 1-16-81-1,
802,Hollenbeck 2-20-89-2,"selfimprovement, therapy"
803,Hollywood-12-71-1,program
804,Harbor-21-186-1,
805,Hollywood-12-13-1,volunteer
806,Hollywood-12-70-2,sports
