,GRYD_ETO_ID,S6b_Other_Activities,Normalized_Answers
454,Southeast 2-20-132-1,Hanging with friends,hangout
455,77th 3-20-144-1,,
456,77th 3-20-91-2,,
457,77th 3-20-138-1,,
458,Valley-92-1-1,,
459,Hollenbeck 2-20-110-2,,
460,77th 3-20-79-2,,
461,77th 3-20-145-1,,
462,77th 3-20-108-2,Counseling,counseling
463,Hollenbeck 2-20-23-3,,
464,NHSEA-0-217-2,Church,church
465,77th 3-20-105-2,Exercise,workout
466,Pacific-18-105-2,Helper foundation,help
467,77th 3-20-155-1,,
468,Hollywood-12-41-1,Community events,community
469,77th 2-13-1331-1,Chapter Two girls group life skills classes,"ct, girls-group, life-skills"
470,Southwest 1-15-288-2,Job search,job
471,Valley-92-4-1,GRYD,gryd
472,Foothill-14-312-1,,
473,Hollenbeck 2-20-93-2,,
474,Hollenbeck 2-20-89-2,Working with GRYD,gryd
475,Hollenbeck 2-20-104-2,,
476,Hollenbeck 3-20-96-2,,
477,Southeast 1-22-62-1,Read Books,read
478,Hollenbeck 3-20-4-3,,
479,CPHBRE-0-83-1,School and working,"school, work"
480,Newton 1-17-160-1,,
481,77th 3-20-153-2,,
482,Newton 1-17-164-1,,
483,Rampart 1-12-454-2,,
484,Harbor-21-160-1,GRYD,gryd
485,Pacific-18-109-1,Staying home more,home
486,Hollenbeck 2-20-77-2,,
487,Valley-92-5-1,GRYD,gryd
488,77th 2-13-1339-1,,
489,CPHBRE-0-82-1,,
490,77th 2-13-1326-1,Girls empowerment group,girls-group
491,Newton 1-17-156-1,,
492,77th 2-13-1306-1,,
493,Newton 1-17-165-1,,
494,Foothill-14-313-1,,
495,Hollenbeck 2-20-100-2,,
496,Harbor-21-162-2,Just GRYD,gryd
497,Newton 2-23-63-2,"Church, program VOA- basketball","church, voa, basketball"
498,Southeast 3-10-122-1,,
499,Pacific-18-233-1,Counseling,counseling
500,Pacific-18-226-1,Counseling with HELPER,"counseling, helper"
501,Pacific-18-207-1,"Therapy, HELPER program","therapy, helper"
502,Pacific-18-204-1,H.E.L.P.E.R. foundation program,helper
503,Pacific-18-223-1,Counseling,counseling
504,Valley-92-7-1,GRYD,hryd
505,Devonshire-Topanga-11-101-1,Thinking about it- none,
506,CPHBRE-0-76-1,,
507,Pacific-18-200-1,,
508,NHSEA-0-337-3,,
509,Pacific-18-216-2,,
510,Northeast-20-156-2,,
511,Pacific-18-234-1,Counseling,counseling
512,Pacific-18-229-1,,
513,Southeast 3-10-79-2,Boxing,boxing
514,Pacific-18-236-1,"Counseling, life skills, mentorship","counseling, life-skills, mentored"
515,Pacific-18-235-1,Counseling,counseling
516,Newton 2-23-146-1,Working to get back in school,work
517,Newton 2-23-128-1,Come to program,program
518,Southeast 3-10-123-1,,
519,Southeast 1-22-66-1,Watch TV,entertainment
520,Hollenbeck 2-20-85-2,,
521,Hollenbeck 1-20-100-2,,
522,Southwest 1-15-262-1,Job training,job
523,Southwest 1-15-298-1,Comes to the community teen club,community
524,Mission-14-156-1,Substance abuse treatment,sa-program
525,Foothill-14-316-1,,
526,Devonshire-Topanga-11-98-1,GRYD work shops,gryd
527,Hollenbeck 2-20-52-3,,
528,Devonshire-Topanga-11-97-1,Silk screen workshops,art
529,Southeast 1-22-68-1,"Sports, Gym","sports, workout"
530,Newton 1-17-169-1,,
531,Pacific-18-108-1,Leadership class,class
532,Newton 1-17-170-1,,
533,VMVHF-0-62-2,,
534,Pacific-18-103-3,Leadership classes,class
535,Newton 2-23-145-1,"Life Skill meetings, therapy","life-skills, therapy"
536,Hollenbeck 2-20-119-2,GRYD,gryd
537,Hollenbeck 2-20-120-2,,
538,77th 2-13-1341-1,,
539,77th 2-13-1310-2,,
540,77th 2-13-1336-1,,
541,BHSEA-1-152-3,,
542,77th 2-13-1333-1,,
543,Devonshire-Topanga-11-92-1,,
544,Hollenbeck 2-20-33-3,,
545,77th 2-13-1342-1,Reading Diane Davis,read
546,Newton 1-17-178-1,,
547,Newton 1-17-173-1,,
548,Southeast 3-10-127-1,"Chapter Two, Sports (basketball)","ct, basketball"
549,Newton 2-23-141-1,,
550,NHSEA-0-301-4,,
551,77th 3-20-154-1,,
552,SSSEARE-0-77-1,,
553,Harbor-21-138-2,,
554,Southeast 3-10-125-1,Doing community,community
555,Harbor-21-164-1,Goes to outreach sunday church,"outreach, church"
556,Southeast 2-20-145-1,Hygiene,hygiene
557,NHSEA-0-360-3,Volunteer/park,volunteer
558,Southeast 2-20-164-1,Hygiene,hygiene
559,Hollenbeck 2-20-118-2,,
560,77th 2-13-1238-1,Girls empowerment and basketball,"girls-group, basketball"
561,Pacific-18-236-1,Counseling and family counseling with HELPER/GRYD program,"couseling, helper, gryd"
562,Harbor-21-166-1,,
563,Harbor-21-150-1,GRYD,gryd
564,Southeast 2-20-140-1,Hygiene,hygiene
565,Southeast 2-20-150-1,Hygiene,hygiene
566,Newton 2-23-64-1,"Church, sports at school","church, sports"
567,Southeast 2-20-144-1,Hygiene,hygiene
568,Southeast 2-20-159-1,,
569,Harbor-21-116-2,,
570,Mission-14-138-1,Church,church
571,Foothill-14-296-1,,
572,Rampart 1-12-491-1,,
573,Mission-14-158-1,Gym membership,workout
574,Southeast 2-20-154-1,Hygiene,hygiene
575,Mission-14-157-1,,
576,Southeast 2-20-151-1,Study for school work,"school, work"
577,Southeast 2-20-153-1,Hygiene,hygiene
578,Hollenbeck 1-20-77-3,,
579,SSSEARE-0-82-1,,
580,Rampart 1-12-423-2,,
581,FGSEARE-0-60-1,Church,church
582,Newton 2-23-140-1,"Job readiness classes, and one on one sessions at program","job, program"
583,Newton 2-23-156-1,"VOA, programming","voa, program"
584,Newton 2-23-161-1,,
585,Pacific-18-228-1,Counseling,couseling
586,BVCB-0-88-3,Attending activities that are beneficial,activities
587,77th 2-13-1340-1,"Football, basketball, lacross, and boxing","football, basketball, lacrosse, boxing"
588,Hollenbeck 3-20-118-2,,
589,Southeast 2-20-155-1,Hygiene,hygiene
590,Southeast 2-20-138-1,Hygiene,hygiene
591,FGSEARE-0-69-1,,
592,Foothill-14-297-1,,"work, church"
593,Foothill-14-308-1,Working with sound systems on Sundays at church,gryd
594,Northeast-20-184-2,GRYD,
595,Hollenbeck 1-20-101-2,,
596,Hollenbeck 1-20-103-2,,
597,Foothill-14-320-1,,
598,Newton 2-23-167-1,"Substance class, meetings , football","sa-program, meeting, football"
599,Valley-92-12-1,,
600,Southeast 2-20-85-1,Hygiene,hygiene
601,Foothill-14-310-1,,
602,Newton 2-23-135-1,Case manager meeting to seek jobs Gym-workout,"job, workout"
603,SVCIS-0-44-2,Parenting,parenting
604,Foothill-14-294-1,,
605,Foothill-14-211-1,Church activities,church
606,Rampart 1-12-495-2,,
607,VMVHF-0-67-1,Lifeskills/anger management,"life-skills, self-improvement"
608,Pacific-18-244-1,Counseling,counseling
609,Foothill-14-286-1,volunteer at a nursing home,volunteer
610,Southwest 1-15-296-2,Online life skills,life-skills
611,Pacific-18-85-1,"Got a job, and still working","job, work"
612,Foothill-14-210-1,,
613,Harbor-21-172-1,,
614,Foothill-14-319-1,,
615,Mission-14-141-1,,
616,77th 3-20-136-1,,
617,77th 3-20-176-1,,
618,77th 3-20-133-1,,
619,Hollenbeck 3-20-3-2,Volunteers at community events,volunteer
620,Olympic-12-56-1,,
621,Pacific-18-96-1,,
622,Harbor-21-168-1,,
623,Newton 1-17-181-1,,
624,Newton 1-17-182-1,,
625,Newton 1-17-185-1,,
626,Newton 1-17-196-1,,
627,Newton 1-17-195-1,,
628,Newton 1-17-49-2,,
